,Unnamed: 0,rest_cnt,review_cnt,review_link,businessID,addr
167,167,168,85,https://www.yelp.com//biz/the-baba-kabob-truck-san-jose-3?osq=Indian+Vegetarian+Restaurant,wyH10CHtJPLD4AvriDgkaQ,"San Jose, CA 95112"
168,168,169,114,https://www.yelp.com//biz/round-table-pizza-campbell-6?osq=Indian+Vegetarian+Restaurant,MIjJLNl71tliYf65RDcQPg,"1400 W Campbell Ave, Campbell, CA 95008"
169,169,170,981,https://www.yelp.com//biz/dish-n-dash-sunnyvale?osq=Indian+Vegetarian+Restaurant,BCRJCJOjHw3oUhfIVrfggA,"736 N Mathilda Ave, Sunnyvale, CA 94085"
170,170,171,1050,https://www.yelp.com//biz/blue-line-pizza-campbell?osq=Indian+Vegetarian+Restaurant,bCMEyV3vxi0n1kgX5yD80w,"415 E Campbell Ave, Campbell, CA 95008"
171,171,172,363,https://www.yelp.com//biz/sajj-mediterranean-san-jose?osq=Indian+Vegetarian+Restaurant,eumDvcwCOtYRXAhIiVuN4Q,"4140 N 1st St, San Jose, CA 95134"
172,172,173,157,https://www.yelp.com//biz/madd-mex-cantina-food-truck-san-mateo-3?osq=Indian+Vegetarian+Restaurant,Is1KN9f5THyPgo1RjAxRzg,"San Mateo, CA 94404"
173,173,174,167,https://www.yelp.com//biz/eat-on-monday-mountain-view-3?osq=Indian+Vegetarian+Restaurant,M4u2h2lfTIXUUWV3xZzVKA,"Mountain View, CA 94041"
174,174,175,285,https://www.yelp.com//biz/phillys-cheesesteaks-and-wings-san-jose?osq=Indian+Vegetarian+Restaurant,YILIsXR6mjyavfOr-F5H5w,"2561 N 1st St, San Jose, CA 95131"
175,175,176,873,https://www.yelp.com//biz/darda-seafood-restaurant-milpitas?osq=Indian+Vegetarian+Restaurant,EsCqaHWDAkAdGYST4w1lCw,"296 Barber Ct, Milpitas, CA 95035"
176,176,177,382,https://www.yelp.com//biz/treatbot-the-karaoke-ice-cream-truck-san-jose-3?osq=Indian+Vegetarian+Restaurant,Lz-9B0d6vqPO6uNW89_weA,"San Jose, CA 95110"
177,177,178,60,https://www.yelp.com//biz/tacos-lujano-mountain-view-5?osq=Indian+Vegetarian+Restaurant,Zf7_pB_qeJxyLWOMqzdGEQ,"Mountain View, CA 94040"
178,178,179,260,https://www.yelp.com//biz/bbq-kalbi-san-jose?osq=Indian+Vegetarian+Restaurant,z24-YWkNlpgrYG2XqQCu2Q,"660 E Gish Rd, San Jose, CA 95112"
179,179,180,621,https://www.yelp.com//biz/mas-restaurant-san-jose?osq=Indian+Vegetarian+Restaurant,xZXsaN8ReNfjYUo__aUArA,"1715 Lundy Ave, San Jose, CA 95131"
180,180,181,713,https://www.yelp.com//biz/p-f-changs-sunnyvale-3?osq=Indian+Vegetarian+Restaurant,0iuekQd1x4MjeFDAQ3PLzA,"390 W El Camino Real, Sunnyvale, CA 94087"
181,181,182,331,https://www.yelp.com//biz/hobees-restaurant-deanza-cupertino?osq=Indian+Vegetarian+Restaurant,jzd_gpbEN-8gTH_yo3TxwQ,"21267 Stevens Creek Blvd, Cupertino, CA 95014"
182,182,183,474,https://www.yelp.com//biz/el-torito-milpitas?osq=Indian+Vegetarian+Restaurant,7pNZ3NjY3Qf0GkRXo-mi0A,"477 E Calaveras, Milpitas, CA 95035"
183,183,184,90,https://www.yelp.com//biz/round-table-pizza-san-jose-16?osq=Indian+Vegetarian+Restaurant,D0X_wV5ZEVff3BMHEpEAmA,"3730 N 1st St, San Jose, CA 95134"
